Num	GeneID	condition1-reversecomp	condition1	condition2-reversecomp	condition2	condition3-reversecomp	condition3	condition1-reversecomp(Normalized)	condition1(Normalized)	condition2-reversecomp(Normalized)	condition2(Normalized)	condition3-reversecomp(Normalized)	condition3(Normalized)	Start	Stop	Order	Strand	Length	PID	Gene	Function
114	SM_b20113	0	0	0	0	0	0	0	0	0	0	0	0	124709	125641	SMb0114	-	933	16263861	-	dehydrogenase
115	SM_b20114	0	0	0	0	0	0	0	0	0	0	0	0	125644	126369	SMb0115	-	726	16263862	-	hypothetical protein
116	SM_b20115	0	0	0	0	0	0	0	0	0	0	0	0	126396	128117	SMb0116	-	1722	16263863	ilvD4	dihydroxy-acid dehydratase
117	SM_b20116	0	0	0	0	0	0	0	0	0	0	0	0	128252	130456	SMb0117	-	2205	16263864	-	hypothetical protein
118	SM_b20117	0	0	0	0	0	0	0	0	0	0	0	0	130586	131686	SMb0118	-	1101	16263865	-	sugar transferase
119	SM_b20118	0	0	0	0	0	0	0	0	0	0	0	0	132167	132586	SMb0119	-	420	16263866	-	hypothetical protein
120	SM_b20119	0	0	0	0	0	0	0	0	0	0	0	0	132609	132965	SMb0120	-	357	16263867	-	hypothetical protein
121	SM_b22004	0	0	0	0	0	0	0	0	0	0	0	0	132946	133338	SMb0121	-	393	195970070	-	plasmid stabilization system protein
122	SM_b20121	0	0	0	0	0	0	0	0	0	0	0	0	133283	133558	SMb0122	-	276	16263869	-	hypothetical protein
123	SM_b20122	0	0	0	0	0	0	0	0	0	0	0	0	133740	134075	SMb0123	-	336	16263870	-	hypothetical protein
124	SM_b20123	0	0	0	0	0	0	0	0	0	0	0	0	134261	135157	SMb0124	-	897	16263871	-	transcriptional regulator
125	SM_b20124	0	0	0	0	0	0	0	0	0	0	0	0	135279	136805	SMb0125	-	1527	16263872	-	sugar ABC transporter ATP-binding protein
126	SM_b20125	0	0	0	0	0	0	0	0	0	0	0	0	136815	137747	SMb0126	-	933	16263873	-	sugar ABC transporter permease
127	SM_b20126	0	0	0	0	0	0	0	0	0	0	0	0	137756	138853	SMb0127	-	1098	16263874	-	sugar ABC transporter permease
128	SM_b20127	0	0	0	0	0	0	0	0	0	0	0	0	139006	139986	SMb0128	-	981	16263875	-	hypothetical protein
129	SM_b20128	0	0	0	0	0	0	0	0	0	0	0	0	140042	141355	SMb0129	-	1314	16263876	-	deaminase
130	SM_b20129	0	0	0	0	0	0	0	0	0	0	0	0	141805	142584	SMb0130	+	780	16263877	-	transcriptional regulator
131	SM_b20130	0	0	0	0	0	0	0	0	0	0	0	0	142635	143498	SMb0131	+	864	16263878	-	dehydrogenase
132	SM_b20131	0	0	0	0	0	0	0	0	0	0	0	0	143495	143980	SMb0132	+	486	16263879	-	oxidoreductase
133	SM_b20132	0	0	0	0	0	0	0	0	0	0	0	0	143977	146295	SMb0133	+	2319	16263880	-	dehydrogenase
134	SM_b20133	0	0	0	0	0	0	0	0	0	0	0	0	146295	147344	SMb0134	+	1050	16263881	-	hypothetical protein
135	SM_b20134	0	0	0	0	0	0	0	0	0	0	0	0	147547	148938	SMb0135	-	1392	16263882	-	permease
136	SM_b20135	0	0	0	0	0	0	0	0	0	0	0	0	149017	149649	SMb0136	-	633	16263883	-	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
137	SM_b20136	0	0	0	0	0	0	0	0	0	0	0	0	149680	151053	SMb0137	-	1374	16263884	-	hypothetical protein
138	SM_b20137	0	0	0	0	0	0	0	0	0	0	0	0	151195	152136	SMb0138	-	942	16263885	-	hypothetical protein
139	SM_b20138	0	0	0	0	0	0	0	0	0	0	0	0	152176	153102	SMb0139	-	927	16263886	-	hypothetical protein
140	SM_b20139	0	0	0	0	0	0	0	0	0	0	0	0	153414	153908	SMb0140	+	495	16263887	-	hypothetical protein
141	SM_b20140	0	0	0	0	0	0	0	0	0	0	0	0	153928	154809	SMb0141	-	882	16263888	dapA2	dihydrodipicolinate synthase
142	SM_b20141	0	0	0	0	0	0	0	0	0	0	0	0	154809	156455	SMb0142	-	1647	16263889	-	oligopeptide ABC transporter ATP-binding protein
143	SM_b20142	0	0	0	0	0	0	0	0	0	0	0	0	156448	157371	SMb0143	-	924	16263890	-	oligopeptide ABC transporter permease
144	SM_b20143	0	0	0	0	0	0	0	0	0	0	0	0	157386	158300	SMb0144	-	915	16263891	-	oligopeptide ABC transporter permease
145	SM_b20144	0	0	0	0	0	0	0	0	0	0	0	0	158386	159891	SMb0145	-	1506	16263892	-	ABC transporter oligopeptide-binding protein
146	SM_b20145	0	0	0	0	0	0	0	0	0	0	0	0	160206	161393	SMb0146	+	1188	16263893	-	hypothetical protein
147	SM_b20146	0	0	0	0	0	0	0	0	0	0	0	0	161393	162358	SMb0147	+	966	16263894	pdxA2	pyridoxal phosphate biosynthetic protein
148	SM_b20147	0	0	0	0	0	0	0	0	0	0	0	0	162355	163461	SMb0148	+	1107	16263895	-	alcohol dehydrogenase
149	SM_b20148	0	0	0	0	0	0	0	0	0	0	0	0	163686	164387	SMb0149	-	702	16263896	-	transcriptional regulator
150	SM_b20149	0	0	0	0	0	0	0	0	0	0	0	0	164391	165422	SMb0150	-	1032	16263897	-	hypothetical protein
151	SM_b20150	0	0	0	0	0	0	0	0	0	0	0	0	165740	166579	SMb0151	+	840	16263898	-	inositol monophosphatase
152	SM_b20151	0	0	0	0	0	0	0	0	0	0	0	0	166645	167262	SMb0152	+	618	16263899	-	hypothetical protein
153	SM_b20152	0	0	0	0	0	0	0	0	0	0	0	0	167256	168974	SMb0153	+	1719	16263900	-	hypothetical protein
154	SM_b20153	0	0	0	0	0	0	0	0	0	0	0	0	169058	170701	SMb0154	+	1644	16263901	-	hypothetical protein
155	SM_b20154	0	0	0	0	0	0	0	0	0	0	0	0	170752	171738	SMb0155	-	987	16263902	-	transcriptional regulator
156	SM_b20155	0	0	0	0	0	0	0	0	0	0	0	0	172249	174099	SMb0156	+	1851	16263903	-	ABC transporter permease
157	SM_b20156	0	0	0	0	0	0	0	0	0	0	0	0	174099	175232	SMb0157	+	1134	16263904	-	ABC transporter ATP-binding protein
158	SM_b20157	0	0	0	0	0	0	0	0	0	0	0	0	175274	176398	SMb0158	+	1125	16263905	-	ABC transporter substrate-binding protein
159	SM_b20158	0	0	0	0	0	0	0	0	0	0	0	0	176427	177551	SMb0159	+	1125	16263906	-	ABC transporter substrate-binding protein
160	SM_b20159	0	0	0	0	0	0	0	0	0	0	0	0	177605	178489	SMb0160	+	885	16263907	-	inositol monophosphatase
161	SM_b22005	0	0	0	0	0	0	0	0	0	0	0	0	179168	179536	SMb0161	+	369	195970077	-	hypothetical protein
162	SM_b20161	0	0	0	0	0	0	0	0	0	0	0	0	179533	179883	SMb0162	+	351	16263909	-	hypothetical protein
163	SM_b20162	0	0	0	0	0	0	0	0	0	0	0	0	180077	180766	SMb0163	+	690	16263910	-	transcriptional regulator
164	SM_b20163	0	0	0	0	0	0	0	0	0	0	0	0	180811	181980	SMb0164	+	1170	16263911	-	hypothetical protein
165	SM_b20164	0	0	0	0	0	0	0	0	0	0	0	0	181977	184220	SMb0165	+	2244	16263912	-	sensor histidine kinase
166	SM_b20165	0	0	0	0	0	0	0	0	0	0	0	0	184327	184998	SMb0166	+	672	16263913	-	hypothetical protein
167	SM_b20166	0	0	0	0	0	0	0	0	0	0	0	0	184995	185348	SMb0167	+	354	16263914	-	hypothetical protein
168	SM_b20167	0	0	0	0	0	0	0	0	0	0	0	0	185422	186234	SMb0168	-	813	16263915	-	hypothetical protein
169	SM_b20168	0	0	0	0	0	0	0	0	0	0	0	0	186369	187466	SMb0169	+	1098	16263916	-	hypothetical protein
170	SM_b20169	0	0	0	0	0	0	0	0	0	0	0	0	187595	188236	SMb0170	-	642	16263917	-	hypothetical protein
171	SM_b20170	0	0	0	0	0	0	0	0	0	0	0	0	188406	189533	SMb0171	+	1128	16263918	fdh	glutathione-dependent formaldehyde dehydrogenase
172	SM_b20171	0	0	0	0	0	0	0	0	0	0	0	0	189530	190372	SMb0172	+	843	195970068	-	carboxylesterase
173	SM_b20172	0	0	0	0	0	0	0	0	0	0	0	0	190386	190796	SMb0173	+	411	16263920	-	cytochrome c protein
174	SM_b20173	0	0	0	0	0	0	0	0	0	0	0	0	190974	192779	SMb0174	+	1806	16263921	-	methanol dehydrogenase, large subunit
175	SM_b20174	0	0	0	0	0	0	0	0	0	0	0	0	192858	193388	SMb0175	+	531	16263922	-	cytochrome c protein
176	SM_b20175	0	0	0	0	0	0	0	0	0	0	0	0	193345	194211	SMb0176	+	867	195970067	-	hypothetical protein
177	SM_b20176	0	0	0	0	0	0	0	0	0	0	0	0	194208	194753	SMb0177	+	546	16263924	-	hypothetical protein
178	SM_b20177	0	0	0	0	0	0	0	0	0	0	0	0	194927	195448	SMb0178	-	522	16263925	-	hypothetical protein
179	SM_b20178	0	0	0	0	0	0	0	0	0	0	0	0	195575	196762	SMb0179	+	1188	16263926	-	hypothetical protein
180	SM_b20179	0	0	0	0	0	0	0	0	0	0	0	0	196764	197738	SMb0180	+	975	16263927	-	hypothetical protein
181	SM_b20180	0	0	0	0	0	0	0	0	0	0	0	0	197742	198221	SMb0181	+	480	16263928	-	hypothetical protein
182	SM_b20181	0	0	0	0	0	0	0	0	0	0	0	0	198276	199247	SMb0182	+	972	16263929	-	ABC transporter substrate-binding protein
183	SM_b20182	0	0	0	0	0	0	0	0	0	0	0	0	199222	200001	SMb0183	+	780	16263930	-	ABC transporter
184	SM_b20183	0	0	0	0	0	0	0	0	0	0	0	0	199998	200621	SMb0184	+	624	16263931	-	ABC transporter ATP-binding protein
185	SM_b20184	0	0	0	0	0	0	0	0	0	0	0	0	200618	201346	SMb0185	+	729	16263932	-	ABC transporter ATP-binding protein
186	SM_b20185	0	0	0	0	0	0	0	0	0	0	0	0	201343	202134	SMb0186	+	792	16263933	-	hypothetical protein
187	SM_b20186	0	0	0	0	0	0	0	0	0	0	0	0	202255	202824	SMb0187	+	570	16263934	-	glutathione-dependent formaldehyde-activating protein
188	SM_b20194	0	0	0	0	0	0	0	0	0	0	0	0	203136	203702	SMb0188	-	567	195970066	-	hypothetical protein
189	SM_b20195	0	0	0	0	0	0	0	0	0	0	0	0	203706	204392	SMb0189	-	687	16263936	ppe	pentose-5-phosphate-3-epimerase
190	SM_b20196	0	0	0	0	0	0	0	0	0	0	0	0	204389	205324	SMb0190	-	936	16263937	cbbX	CbbX protein
191	SM_b20197	0	0	0	0	0	0	0	0	0	0	0	0	205336	205725	SMb0191	-	390	16263938	cbbS	ribulose-1,5-bisphosphate carboxylase small subunit protein
192	SM_b20198	0	0	0	0	0	0	0	0	0	0	0	0	205767	207227	SMb0192	-	1461	16263939	rbcL	ribulose bisophosphate carboxylase
193	SM_b20199	0	0	0	0	0	0	0	0	0	0	0	0	207260	208339	SMb0193	-	1080	16263940	cbbA	fructose-1,6-bisphosphate aldolase
194	SM_b20200	0	0	0	0	0	0	0	0	0	0	0	0	208342	210426	SMb0194	-	2085	16263941	cbbT	transketolase
195	SM_b20201	0	0	0	0	0	0	0	0	0	0	0	0	210437	211306	SMb0195	-	870	16263942	cbbP	phosphoribulokinase
196	SM_b20202	0	0	0	0	0	0	0	0	0	0	0	0	211317	212366	SMb0196	-	1050	16263943	cbbF	fructose-1,6-bisphosphatase
197	SM_b20203	0	0	0	0	0	0	0	0	0	0	0	0	212468	213409	SMb0197	+	942	16263944	cbbR	transcriptional regulator
198	SM_b20204	0	0	0	0	0	0	0	0	0	0	0	0	213692	213787	SMb0198	+	96	16263945	pqqA	coenzyme PQQ synthesis protein PqqA
199	SM_b20205	0	0	0	0	0	0	0	0	0	0	0	0	213829	214740	SMb0199	+	912	16263946	pqqB	pyrroloquinoline quinone biosynthesis protein PqqB
200	SM_b20206	0	0	0	0	0	0	0	0	0	0	0	0	214737	215507	SMb0200	+	771	16263947	pqqC	pyrroloquinoline quinone biosynthesis protein PqqC
201	SM_b20207	0	0	0	0	0	0	0	0	0	0	0	0	215504	215800	SMb0201	+	297	16263948	pqqD	pyrroloquinoline quinone synthesis protein D
202	SM_b20208	0	0	0	0	0	0	0	0	0	0	0	0	215797	216924	SMb0202	+	1128	16263949	pqqE	pyrroloquinoline quinone biosynthesis protein PqqE
203	SM_b20209	0	0	0	0	0	0	0	0	0	0	0	0	216993	217232	SMb0203	-	240	16263950	-	hypothetical protein
