Num	GeneID	condition2	condition3	condition1	condition2(Normalized)	condition3(Normalized)	condition1(Normalized)	Start	Stop	Order	Strand	Length	PID	Gene	Function
179	int_SM_b20177-SM_b20178	0	0	0	0	0	0	195449	195574	na	na	126	na	na	na
180	int_SM_b20178-SM_b20179	0	0	0	0	0	0	196763	196763	na	na	1	na	na	na
181	int_SM_b20179-SM_b20180	0	0	0	0	0	0	197739	197741	na	na	3	na	na	na
182	int_SM_b20180-SM_b20181	0	0	0	0	0	0	198222	198275	na	na	54	na	na	na
187	int_SM_b20185-SM_b20186	0	0	0	0	0	0	202135	202254	na	na	120	na	na	na
188	int_SM_b20186-SM_b20194	2	0	0	2	0	0	202825	203135	na	na	311	na	na	na
	int_SM_b20186-SM_b20194	1	0	0	1	0	0	203051			+
	int_SM_b20186-SM_b20194	1	0	0	1	0	0	203124			+
189	int_SM_b20194-SM_b20195	0	0	0	0	0	0	203703	203705	na	na	3	na	na	na
191	int_SM_b20196-SM_b20197	0	0	0	0	0	0	205325	205335	na	na	11	na	na	na
192	int_SM_b20197-SM_b20198	0	0	0	0	0	0	205726	205766	na	na	41	na	na	na
193	int_SM_b20198-SM_b20199	0	0	0	0	0	0	207228	207259	na	na	32	na	na	na
194	int_SM_b20199-SM_b20200	0	0	0	0	0	0	208340	208341	na	na	2	na	na	na
195	int_SM_b20200-SM_b20201	0	0	0	0	0	0	210427	210436	na	na	10	na	na	na
196	int_SM_b20201-SM_b20202	0	0	0	0	0	0	211307	211316	na	na	10	na	na	na
197	int_SM_b20202-SM_b20203	0	0	0	0	0	0	212367	212467	na	na	101	na	na	na
198	int_SM_b20203-SM_b20204	0	0	0	0	0	0	213410	213691	na	na	282	na	na	na
199	int_SM_b20204-SM_b20205	0	0	0	0	0	0	213788	213828	na	na	41	na	na	na
203	int_SM_b20208-SM_b20209	0	0	0	0	0	0	216925	216992	na	na	68	na	na	na
204	int_SM_b20209-SM_b20210	0	0	0	0	0	0	217233	217286	na	na	54	na	na	na
205	int_SM_b20210-SM_b20211	0	0	0	0	0	0	218001	218141	na	na	141	na	na	na
206	int_SM_b20211-SM_b20212	0	0	0	0	0	0	219075	219261	na	na	187	na	na	na
207	int_SM_b20212-SM_b20213	0	0	0	0	0	0	219943	219979	na	na	37	na	na	na
208	int_SM_b20213-SM_b20214	0	0	0	0	0	0	221864	222126	na	na	263	na	na	na
209	int_SM_b20214-SM_b20215	0	0	0	0	0	0	222931	222992	na	na	62	na	na	na
210	int_SM_b20215-SM_b20216	0	0	0	0	0	0	223974	224113	na	na	140	na	na	na
211	int_SM_b20216-SM_b20217	0	0	0	0	0	0	225161	225377	na	na	217	na	na	na
212	int_SM_b20217-SM_b20218	0	0	0	0	0	0	226044	226213	na	na	170	na	na	na
214	int_SM_b20219-SM_b22002	0	0	0	0	0	0	228316	228406	na	na	91	na	na	na
216	int_SM_b20221-SM_b20222	0	0	0	0	0	0	229741	229749	na	na	9	na	na	na
217	int_SM_b20222-SM_b22001	0	0	0	0	0	0	230173	230871	na	na	699	na	na	na
218	int_SM_b22001-SM_b20225	0	0	0	0	0	0	231376	231656	na	na	281	na	na	na
219	int_SM_b20225-SM_b20226	0	0	0	0	0	0	232344	232508	na	na	165	na	na	na
220	int_SM_b20226-SM_b20227	0	0	0	0	0	0	232683	232838	na	na	156	na	na	na
223	int_SM_b20229-SM_b20230	0	0	0	0	0	0	234801	235031	na	na	231	na	na	na
224	int_SM_b20230-SM_b20231	0	0	0	0	0	0	236037	236095	na	na	59	na	na	na
225	int_SM_b20231-SM_b20232	0	0	0	0	0	0	237452	237508	na	na	57	na	na	na
227	int_SM_b20233-SM_b20234	0	0	0	0	0	0	239292	239321	na	na	30	na	na	na
228	int_SM_b20234-SM_b20235	0	0	0	0	0	0	240519	240519	na	na	1	na	na	na
229	int_SM_b20235-SM_b20236	0	0	0	0	0	0	241612	241730	na	na	119	na	na	na
230	int_SM_b20236-SM_b20238	0	0	0	0	0	0	242076	242402	na	na	327	na	na	na
231	int_SM_b20238-SM_b20239	0	0	0	0	0	0	243198	243199	na	na	2	na	na	na
232	int_SM_b20239-SM_b20240	0	0	0	0	0	0	244241	244259	na	na	19	na	na	na
235	int_SM_b20242-SM_b20243	0	0	0	0	0	0	247588	247591	na	na	4	na	na	na
238	int_SM_b20245-SM_b20246	0	0	0	0	0	0	250965	251297	na	na	333	na	na	na
239	int_SM_b20246-SM_b20247	0	0	0	0	0	0	252291	252294	na	na	4	na	na	na
240	int_SM_b20247-SM_b20248	0	0	0	0	0	0	253309	253337	na	na	29	na	na	na
241	int_SM_b20248-SM_b20249	0	0	0	0	0	0	255087	255237	na	na	151	na	na	na
243	int_SM_b20250-SM_b20251	0	0	0	0	0	0	256938	257008	na	na	71	na	na	na
245	int_SM_b20252-SM_b20253	0	0	0	0	0	0	259249	259294	na	na	46	na	na	na
246	int_SM_b20253-SM_b20254	0	0	0	0	0	0	260201	260408	na	na	208	na	na	na
247	int_SM_b20254-SM_b20255	0	0	0	0	0	0	260685	260758	na	na	74	na	na	na
248	int_SM_b20255-SM_b20256	0	0	0	0	0	0	261311	261441	na	na	131	na	na	na
249	int_SM_b20256-SM_b20257	0	0	0	0	0	0	261892	262073	na	na	182	na	na	na
250	int_SM_b20257-SM_b20258	0	0	0	0	0	0	263133	263236	na	na	104	na	na	na
251	int_SM_b20258-SM_b20259	0	0	0	0	0	0	263948	264067	na	na	120	na	na	na
252	int_SM_b20259-SM_b20260	0	0	0	0	0	0	265031	265077	na	na	47	na	na	na
253	int_SM_b20260-SM_b20261	0	0	0	0	0	0	265471	265533	na	na	63	na	na	na
254	int_SM_b20261-SM_b20262	0	0	0	0	0	0	266572	266813	na	na	242	na	na	na
255	int_SM_b20262-SM_b20263	0	0	0	0	0	0	268332	268517	na	na	186	na	na	na
256	int_SM_b20263-SM_b20264	0	0	0	0	0	0	269325	269390	na	na	66	na	na	na
257	int_SM_b20264-SM_b20265	0	0	0	0	0	0	270057	270068	na	na	12	na	na	na
260	int_SM_b20267-SM_b20268	0	0	0	0	0	0	272680	272693	na	na	14	na	na	na
262	int_SM_b20269-SM_b20270	0	0	0	0	0	0	275384	275433	na	na	50	na	na	na
263	int_SM_b20270-SM_b20271	0	0	0	0	0	0	276463	276545	na	na	83	na	na	na
264	int_SM_b20271-SM_b20272	0	0	0	0	0	0	276978	277377	na	na	400	na	na	na
265	int_SM_b20272-SM_b20273	0	0	0	0	0	0	278587	278658	na	na	72	na	na	na
266	int_SM_b20273-SM_b20274	0	0	0	0	0	0	278845	279099	na	na	255	na	na	na
267	int_SM_b20274-SM_b20275	0	0	0	0	0	0	279286	279462	na	na	177	na	na	na
268	int_SM_b20275-SM_b20276	1	0	0	1	0	0	280324	280414	na	na	91	na	na	na
	int_SM_b20275-SM_b20276	1	0	0	1	0	0	280401			-
270	int_SM_b20277-SM_b20278	0	0	0	0	0	0	282646	282953	na	na	308	na	na	na
271	int_SM_b20278-SM_b20279	0	0	0	0	0	0	283533	283533	na	na	1	na	na	na
272	int_SM_b20279-SM_b20280	0	0	0	0	0	0	284038	284068	na	na	31	na	na	na
273	int_SM_b20280-SM_b20281	0	0	0	0	0	0	285536	285616	na	na	81	na	na	na
274	int_SM_b20281-SM_b20282	0	0	0	0	0	0	286688	286690	na	na	3	na	na	na
275	int_SM_b20282-SM_b20283	0	0	0	0	0	0	287483	287492	na	na	10	na	na	na
276	int_SM_b20283-SM_b20284	0	0	0	0	0	0	288477	288560	na	na	84	na	na	na
277	int_SM_b20284-SM_b20285	0	0	0	0	0	0	289662	289740	na	na	79	na	na	na
278	int_SM_b20285-SM_b20286	0	0	0	0	0	0	290719	290920	na	na	202	na	na	na
279	int_SM_b20286-SM_b20287	0	0	0	0	0	0	292001	292018	na	na	18	na	na	na
281	int_SM_b20288-SM_b20289	0	0	0	0	0	0	294124	294232	na	na	109	na	na	na
282	int_SM_b20289-SM_b20290	0	0	0	0	0	0	295583	295733	na	na	151	na	na	na
283	int_SM_b20290-SM_b20291	0	0	0	0	0	0	296730	296736	na	na	7	na	na	na
284	int_SM_b20291-SM_b20292	0	0	0	0	0	0	299221	299407	na	na	187	na	na	na
285	int_SM_b20292-SM_b20293	0	0	0	0	0	0	300392	300702	na	na	311	na	na	na
286	int_SM_b20293-SM_b20294	0	0	0	0	0	0	301063	301193	na	na	131	na	na	na
287	int_SM_b20294-SM_b20295	0	0	0	0	0	0	301896	301923	na	na	28	na	na	na
288	int_SM_b20295-SM_b20296	0	0	0	0	0	0	302896	302950	na	na	55	na	na	na
291	int_SM_b20298-SM_b20299	0	0	0	0	0	0	305683	305695	na	na	13	na	na	na
292	int_SM_b20299-SM_b20300	0	0	0	0	0	0	306596	306931	na	na	336	na	na	na
294	int_SM_b20301-SM_b20302	0	0	0	0	0	0	309973	310119	na	na	147	na	na	na
295	int_SM_b20302-SM_b20303	0	0	0	0	0	0	310282	310477	na	na	196	na	na	na
296	int_SM_b20303-SM_b20304	0	0	0	0	0	0	310706	310761	na	na	56	na	na	na
299	int_SM_b20305-SM_b20307	0	0	0	0	0	0	311709	311800	na	na	92	na	na	na
300	int_SM_b20307-SM_b20312	0	0	0	0	0	0	312449	312526	na	na	78	na	na	na
301	int_SM_b20312-SM_b20313	0	0	0	0	0	0	314615	314727	na	na	113	na	na	na
303	int_SM_b20314-SM_b20315	0	0	0	0	0	0	316373	316762	na	na	390	na	na	na
304	int_SM_b20315-SM_b20316	0	0	0	0	0	0	317750	317828	na	na	79	na	na	na
305	int_SM_b20316-SM_b20317	0	0	0	0	0	0	318831	318947	na	na	117	na	na	na
306	int_SM_b20317-SM_b20318	0	0	0	0	0	0	320499	320499	na	na	1	na	na	na
307	int_SM_b20318-SM_b20319	0	0	0	0	0	0	321532	321581	na	na	50	na	na	na
308	int_SM_b20319-SM_b20320	0	0	0	0	0	0	322800	322939	na	na	140	na	na	na
309	int_SM_b20320-SM_b20321	0	0	0	0	0	0	323936	323963	na	na	28	na	na	na
311	int_SM_b20322-SM_b20323	0	0	0	0	0	0	325835	325921	na	na	87	na	na	na
312	int_SM_b20323-SM_b20324	0	0	0	0	0	0	326582	326602	na	na	21	na	na	na
313	int_SM_b20324-SM_b20325	0	0	0	0	0	0	327620	328097	na	na	478	na	na	na
314	int_SM_b20325-SM_b20326	0	0	0	0	0	0	329370	329456	na	na	87	na	na	na
316	int_SM_b20327-SM_b20328	0	0	0	0	0	0	331274	331282	na	na	9	na	na	na
317	int_SM_b20328-SM_b20329	0	0	0	0	0	0	332312	332476	na	na	165	na	na	na
319	int_SM_b20330-SM_b20331	0	0	0	0	0	0	334384	334595	na	na	212	na	na	na
320	int_SM_b20331-SM_b20332	0	0	0	0	0	0	334953	335643	na	na	691	na	na	na
321	int_SM_b20332-SM_b20333	0	0	0	0	0	0	336586	336728	na	na	143	na	na	na
322	int_SM_b20333-SM_b20334	0	0	0	0	0	0	338850	339464	na	na	615	na	na	na
323	int_SM_b20334-SM_b20335	0	0	0	0	0	0	340377	340596	na	na	220	na	na	na
324	int_SM_b20335-SM_b20336	0	0	0	0	0	0	341878	341926	na	na	49	na	na	na
325	int_SM_b20336-SM_b20337	0	0	0	0	0	0	342719	342775	na	na	57	na	na	na
326	int_SM_b20337-SM_b20338	0	0	0	0	0	0	343388	343484	na	na	97	na	na	na
327	int_SM_b20338-SM_b20339	0	0	0	0	0	0	344709	344796	na	na	88	na	na	na
328	int_SM_b20339-SM_b20340	0	0	0	0	0	0	345280	345348	na	na	69	na	na	na
329	int_SM_b20340-SM_b20341	0	0	0	0	0	0	345529	345732	na	na	204	na	na	na
330	int_SM_b20341-SM_b20342	0	0	0	0	0	0	345919	346304	na	na	386	na	na	na
331	int_SM_b20342-SM_b20343	0	0	0	0	0	0	348519	348519	na	na	1	na	na	na
332	int_SM_b20343-SM_b20344	0	0	0	0	0	0	348979	349254	na	na	276	na	na	na
333	int_SM_b20344-SM_b20345	0	0	0	0	0	0	350212	350347	na	na	136	na	na	na
334	int_SM_b20345-SM_b20346	0	0	0	0	0	0	353498	353525	na	na	28	na	na	na
335	int_SM_b20346-SM_b20347	0	0	0	0	0	0	354681	354772	na	na	92	na	na	na
336	int_SM_b20347-SM_b20348	0	0	0	0	0	0	355382	355567	na	na	186	na	na	na
337	int_SM_b20348-SM_b20349	0	0	0	0	0	0	356396	356463	na	na	68	na	na	na
338	int_SM_b20349-SM_b20350	0	0	0	0	0	0	357406	357570	na	na	165	na	na	na
341	int_SM_b20352-SM_b20353	0	0	0	0	0	0	360827	360831	na	na	5	na	na	na
343	int_SM_b20354-SM_b20355	0	0	0	0	0	0	363783	363904	na	na	122	na	na	na
345	int_SM_b20356-SM_b20357	0	0	0	0	0	0	367414	367437	na	na	24	na	na	na
346	int_SM_b20357-SM_b20358	0	0	0	0	0	0	367804	367811	na	na	8	na	na	na
347	int_SM_b20358-SM_b20359	0	0	0	0	0	0	369375	369490	na	na	116	na	na	na
348	int_SM_b20359-SM_b20360	0	0	0	0	0	0	370787	370826	na	na	40	na	na	na
349	int_SM_b20360-SM_b20361	0	0	0	0	0	0	371559	371643	na	na	85	na	na	na
350	int_SM_b20361-SM_b20362	0	0	0	0	0	0	372442	372531	na	na	90	na	na	na
351	int_SM_b20362-SM_b20363	0	0	0	0	0	0	373333	373362	na	na	30	na	na	na
353	int_SM_b20364-SM_b20365	0	0	0	0	0	0	376650	376823	na	na	174	na	na	na
354	int_SM_b20365-SM_b20366	0	0	0	0	0	0	377853	378029	na	na	177	na	na	na
355	int_SM_b20366-SM_b20367	0	0	0	0	0	0	379035	379529	na	na	495	na	na	na
356	int_SM_b20367-SM_b20368	0	0	0	0	0	0	380223	380365	na	na	143	na	na	na
357	int_SM_b20368-SM_b20369	0	0	0	0	0	0	381380	381384	na	na	5	na	na	na
359	int_SM_b20370-SM_b20371	0	0	0	0	0	0	383304	383347	na	na	44	na	na	na
360	int_SM_b20371-SM_b20372	0	0	0	0	0	0	383795	383817	na	na	23	na	na	na
